Date,Open,High,Low,Close,Adj Close,Volume
2022-01-10,18.227272,18.563637,18.136362,18.454544,18.025089,51092910
2022-01-11,18.454544,18.572727,18.245455,18.481817,18.051723,53026600
2022-01-12,18.481817,18.636362,18.227272,18.345453,17.918533,49113570
2022-01-13,18.218182,18.754545,18.218182,18.672728,18.238194,57497660
2022-01-14,18.663635,19.027271,18.609091,18.972727,18.531210,56481590
2022-01-17,18.872726,19.190908,18.745455,19.081818,18.637760,21673410
2022-01-18,18.981817,19.427273,18.909090,19.427273,18.975182,74687690
2022-01-19,19.500000,19.636362,19.145454,19.181818,18.735434,50084980
2022-01-20,19.236362,19.318180,19.045454,19.163635,18.717676,28939130
2022-01-21,19.090908,19.381819,18.963636,18.963636,18.522329,44387750
2022-01-24,18.990910,19.518181,18.963636,19.363636,18.913023,86358580
2022-01-25,19.299999,20.236362,19.200001,20.136362,19.667765,74485400
2022-01-26,20.354546,20.409090,19.945454,20.154545,19.685526,75827730
2022-01-27,20.336363,20.536364,20.045454,20.254545,19.783197,65708720
2022-01-28,20.145454,20.590908,20.045454,20.545454,20.067335,49132160
2022-01-31,20.572727,20.909090,20.336363,20.727272,20.244923,62474390
2022-02-01,20.690908,20.945454,20.636362,20.799999,20.315960,29653910
2022-02-02,20.609091,20.709089,20.309090,20.409090,19.950689,51841460
2022-02-03,20.563637,20.818180,20.245455,20.709089,20.243952,42935860
2022-02-04,20.672728,21.000000,20.563637,20.845453,20.377251,40621790
2022-02-07,20.890909,21.018181,20.681818,20.772726,20.306160,33281710
2022-02-08,20.781818,20.963636,20.409090,20.654545,20.190634,48921730
2022-02-09,19.463636,19.781818,18.818180,18.881819,18.457722,226386930
2022-02-10,19.000000,19.381819,18.654545,19.154545,18.724321,80558500
2022-02-11,19.354546,19.618181,19.072727,19.218182,18.786531,89646920
2022-02-14,19.318180,19.318180,18.918180,19.245455,18.813192,42557020
2022-02-15,19.272726,19.436363,19.218182,19.263636,18.830965,45128050
2022-02-16,19.309090,19.500000,19.181818,19.490910,19.053133,44218790
2022-02-17,19.427273,19.545454,19.190908,19.263636,18.830965,25904450
2022-02-18,19.327272,19.509090,19.281818,19.372726,18.937605,33335500
2022-02-21,19.372726,19.409090,19.000000,19.145454,18.715437,22943580
2022-02-22,19.281818,19.409090,18.963636,19.072727,18.644342,44470030
2022-02-23,19.090908,19.272726,18.945454,18.981817,18.555475,26533320
2022-02-24,18.454544,18.609091,17.954544,18.409090,17.995613,79078560
2022-02-25,18.318180,18.663635,18.236362,18.500000,18.084480,55603460
2022-03-02,18.372726,18.500000,18.027271,18.309090,17.897856,42620050
2022-03-03,18.236362,18.854546,18.236362,18.645454,18.243675,42707830
2022-03-04,18.645454,18.645454,17.927273,18.109091,17.718872,43527770
2022-03-07,17.990910,18.172728,17.500000,17.645454,17.265226,52141650
2022-03-08,17.681818,18.190908,17.572727,17.872726,17.487604,68288990
2022-03-09,18.218182,19.081818,18.163635,19.018181,18.608374,62361860
2022-03-10,18.836363,18.990910,18.572727,18.900000,18.492737,33495110
2022-03-11,18.981817,19.163635,18.727272,18.818180,18.412683,42839830
2022-03-14,18.827272,19.336363,18.827272,18.954544,18.546108,36692150
2022-03-15,18.945454,19.109091,18.563637,18.909090,18.501633,51826390
2022-03-16,19.045454,19.236362,18.836363,19.181818,18.768482,51718480
2022-03-17,19.281818,19.381819,18.945454,19.254545,18.839643,52868970
2022-03-18,19.245455,19.381819,18.963636,19.209089,18.795168,91396580
2022-03-21,19.272726,19.663635,19.227272,19.663635,19.239918,46281290
2022-03-22,19.763636,20.090908,19.754545,19.909090,19.480087,48284500
2022-03-23,19.954544,19.990910,19.654545,19.781818,19.355556,30857860
2022-03-24,19.818180,20.227272,19.781818,20.072727,19.640198,43444170
2022-03-25,20.172728,20.372726,19.990910,20.254545,19.818096,40055180
2022-03-28,20.336363,20.390909,19.981817,20.154545,19.720251,25232680
2022-03-29,20.409090,20.663635,20.372726,20.518181,20.076054,54799690
2022-03-30,20.545454,20.545454,20.200001,20.390909,19.951519,27442800
2022-03-31,20.390909,20.518181,19.954544,20.200001,19.764729,36693250
2022-04-01,20.309090,20.400000,19.881819,19.981817,19.551245,35110570
2022-04-04,19.954544,19.990910,19.627272,19.881819,19.470209,22034760
2022-04-05,19.900000,19.900000,19.200001,19.327272,18.927145,41254180
2022-04-06,19.236362,19.327272,18.981817,19.227272,18.829212,44633160
2022-04-07,19.309090,19.400000,19.000000,19.309090,18.909338,33112640
2022-04-08,19.236362,19.645454,19.200001,19.527271,19.122999,37651020
2022-04-11,19.445454,19.745455,19.345453,19.500000,19.096296,32351330
2022-04-12,19.681818,19.745455,19.290909,19.327272,18.927145,29440620
2022-04-13,19.436363,19.654545,19.299999,19.527271,19.122999,35077570
2022-04-14,19.518181,19.609091,19.354546,19.481817,19.078489,30043860
2022-04-18,19.527271,19.918180,19.481817,19.827272,19.416790,34271160
2022-04-19,19.900000,20.010000,19.309999,19.570000,19.183199,32993200
2022-04-20,19.680000,19.690001,19.350000,19.500000,19.114588,22521400
2022-04-22,19.219999,19.320000,19.020000,19.219999,18.840117,35690800
2022-04-25,19.059999,19.230000,18.840000,19.100000,18.722492,38839200
2022-04-26,18.820000,18.850000,18.120001,18.280001,17.918699,66772900
2022-04-27,18.490000,18.620001,18.190001,18.389999,18.026525,62402800
2022-04-28,18.400000,18.469999,18.070000,18.219999,17.859886,66856100
2022-04-29,18.400000,18.730000,17.980000,17.980000,17.624630,61884300
2022-05-02,18.000000,18.170000,17.730000,17.969999,17.614826,43038200
2022-05-03,17.959999,18.150000,17.820000,18.070000,17.731573,55511000
2022-05-04,17.920000,18.410000,17.799999,18.330000,17.986706,54528700
2022-05-05,18.200001,18.230000,17.530001,17.730000,17.397938,47513400
2022-05-06,17.950001,18.549999,17.650000,18.100000,17.761011,73889800
2022-05-09,17.879999,18.520000,17.850000,18.370001,18.025953,66525900
