Date,Open,High,Low,Close,Adj Close,Volume
2022-01-10,93.000000,93.989998,90.620003,91.000000,84.707909,45230
2022-01-11,91.000000,92.209999,89.599998,89.610001,83.414024,45266
2022-01-12,89.709999,93.220001,89.699997,93.000000,86.569618,57028
2022-01-13,92.790001,92.790001,90.309998,91.059998,84.763763,38943
2022-01-14,91.059998,94.750000,91.059998,93.570000,87.100227,54236
2022-01-17,93.559998,95.000000,92.500000,95.000000,88.431343,33767
2022-01-18,95.000000,97.000000,93.849998,95.199997,88.617508,43441
2022-01-19,94.400002,95.790001,94.110001,94.400002,87.872833,40127
2022-01-20,94.400002,95.970001,92.230003,92.699997,86.290367,49710
2022-01-21,92.699997,93.650002,91.309998,92.690002,86.281067,53460
2022-01-24,93.000000,93.639999,92.010002,92.180000,85.806320,36753
2022-01-25,92.199997,94.500000,92.199997,93.839996,87.351532,37394
2022-01-26,93.839996,94.959999,92.180000,94.500000,87.965912,40291
2022-01-27,94.500000,94.709999,92.510002,93.410004,86.951271,35093
2022-01-28,93.400002,94.400002,92.510002,93.599998,87.128128,45574
2022-01-31,93.599998,98.000000,93.230003,97.870003,91.102905,48430
2022-02-01,97.750000,98.769997,96.300003,98.050003,91.270447,53224
2022-02-02,97.779999,97.879997,94.010002,95.099998,88.524429,107161
2022-02-03,95.489998,96.430000,94.910004,95.510002,88.906075,29639
2022-02-04,95.510002,97.279999,95.190002,96.559998,89.883469,31405
2022-02-07,96.550003,96.900002,96.000000,96.699997,90.013794,35114
2022-02-08,96.690002,96.699997,95.129997,96.199997,89.548363,26118
2022-02-09,96.199997,96.570000,95.230003,95.800003,89.176033,21039
2022-02-10,95.790001,95.949997,95.080002,95.139999,88.561653,44659
2022-02-11,95.160004,96.000000,94.900002,96.000000,89.362198,41113
2022-02-14,95.889999,96.000000,93.029999,93.750000,87.267769,55997
2022-02-15,94.000000,94.790001,92.070000,92.599998,86.197281,75156
2022-02-16,93.010002,93.959999,92.190002,93.320000,86.867493,37509
